geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
서울특별시 종로구,11010,.082921639,.0095673036,370.97357,.30238459,.16765784,2,0,31,17,134,.87096775,.086789556,.15826331,.30271837,.24064392,.62757093,01-001-053,.038790606,.0082766293,381.9968,.35566244,.22402719,1988,1117,147,97,612,.41265166,.31464061,.47682649,.25832453,.45414919,.44099236
서울특별시 중구,11020,.058987997,.0095673036,308.83566,.32155848,.18952373,3,1,42,7,106,.66666669,.10813492,.64880955,.30271837,.24064392,.62757093,01-002-052,.054058772,.0082766293,373.37759,.37192073,.24812149,2287,1100,134,74,528,.41367486,.26707813,.48362797,.25832453,.45414919,.44099236
서울특별시 용산구,11030,.056484815,.0095673036,357.75943,.31807476,.1799906,8,4,53,26,193,.56458634,.20248306,.41275391,.30271837,.24064392,.62757093,01-003-051,.030982137,.0082766293,416.04614,.36487025,.2351958,2111,1203,137,152,785,.47099501,.37409914,.33718145,.25832453,.45414919,.44099236
서울특별시 성동구,11040,.028720945,.0095673036,319.16931,.32068422,.18834893,7,2,113,20,302,.53141594,.1212549,.68509018,.30271837,.24064392,.62757093,01-004-052,.017864235,.0082766293,407.23969,.33937526,.20651579,2287,1100,290,210,1312,.27027914,.37280068,.51481998,.25832453,.45414919,.44099236
서울특별시 광진구,11050,.044668175,.0095673036,354.77673,.28637505,.15534133,4,1,93,24,331,.48118278,.14940886,.57895935,.30271837,.24064392,.62757093,01-005-053,.023340015,.0082766293,393.46451,.32390222,.18926023,1988,1117,311,223,1491,.36676136,.33901334,.47279438,.25832453,.45414919,.44099236
서울특별시 동대문구,11060,.043977678,.0095673036,322.76047,.31300431,.17492412,3,2,148,21,369,.57432431,.096957512,.68331957,.30271837,.24064392,.62757093,01-006-071,.01286178,.0082766293,379.97827,.32526994,.19495916,794,606,315,161,1446,.2853002,.30611509,.59892088,.25832453,.45414919,.44099236
서울특별시 중랑구,11070,.032153659,.0095673036,298.76254,.28947759,.1486448,6,0,153,21,384,.36134455,.11110947,.8095119,.30271837,.24064392,.62757093,01-007-052,.021233641,.0082766293,339.76639,.33148596,.201478,2287,1100,380,122,1406,.31656599,.21742062,.67721182,.25832453,.45414919,.44099236
서울특별시 성북구,11080,.054493077,.0095673036,339.5368,.31072411,.1745902,2,1,104,29,350,.48706895,.15633012,.56063217,.30271837,.24064392,.62757093,01-008-058,.020889973,.0082766293,388.54575,.34397534,.21279287,1723,1045,304,233,1472,.39791337,.33504534,.4371407,.25832453,.45414919,.44099236
서울특별시 강북구,11090,.041483592,.0095673036,304.00317,.31311682,.18042061,5,1,113,12,278,.55752212,.082231127,.77434313,.30271837,.24064392,.62757093,01-009-060,.014307813,.0082766293,346.22961,.32137001,.18986847,1569,1089,327,106,1162,.29158732,.21148182,.65240151,.25832453,.45414919,.44099236
서울특별시 도봉구,11100,.042251445,.0095673036,375.2204,.28754741,.1495041,6,2,89,39,337,.43849036,.24433459,.55758411,.30271837,.24064392,.62757093,01-010-051,.028191127,.0082766293,404.61343,.33664808,.20366099,2111,1203,269,199,1302,.44721749,.31688228,.42834842,.25832453,.45414919,.44099236
서울특별시 노원구,11110,.065935902,.0095673036,368.7464,.28020093,.14913662,2,1,179,65,740,.33064032,.22680733,.62459248,.30271837,.24064392,.62757093,01-011-051,.031672716,.0082766293,423.92136,.29080841,.15572375,2111,1203,400,512,3068,.24820313,.5131166,.40087235,.25832453,.45414919,.44099236
서울특별시 은평구,11120,.025823161,.0095673036,327.47626,.31496018,.18702571,9,1,114,15,314,.59473681,.080019496,.60814816,.30271837,.24064392,.62757093,01-012-051,.0099358428,.0082766293,385.31067,.32692993,.19607927,2111,1203,390,202,1738,.28682408,.29149058,.56277889,.25832453,.45414919,.44099236
서울특별시 서대문구,11130,.046094753,.0095673036,359.17834,.30910802,.18048798,2,0,95,29,333,.49655172,.18182349,.59562868,.30271837,.24064392,.62757093,01-013-052,.017334912,.0082766293,392.60648,.32537049,.19065994,2287,1100,325,258,1605,.2546452,.40072674,.50479144,.25832453,.45414919,.44099236
서울특별시 마포구,11140,.045959376,.0095673036,367.56329,.31959459,.18608655,5,0,80,42,343,.51964283,.22987373,.43785474,.30271837,.24064392,.62757093,01-014-059,.014289079,.0082766293,412.65668,.33595991,.20284237,1554,1172,283,252,1406,.34478939,.39725706,.44612598,.25832453,.45414919,.44099236
서울특별시 양천구,11150,.070619717,.0095673036,421.61844,.30658269,.16988903,3,5,147,93,554,.49879307,.26511493,.4190526,.30271837,.24064392,.62757093,01-015-051,.026492087,.0082766293,464.17249,.32253611,.18622559,2111,1203,348,521,2217,.57512629,.34473264,.23026288,.25832453,.45414919,.44099236
서울특별시 강서구,11160,.045580417,.0095673036,369.0401,.29369333,.15977064,3,7,134,46,510,.54445165,.17330016,.5048309,.30271837,.24064392,.62757093,01-016-051,.019654112,.0082766293,408.16211,.31361395,.17969252,2111,1203,400,319,2257,.33905956,.37406614,.46904847,.25832453,.45414919,.44099236
서울특별시 구로구,11170,.023342256,.0095673036,352.30817,.27940184,.14761712,3,8,120,33,434,.46287879,.15154138,.55105954,.30271837,.24064392,.62757093,01-017-051,.015887074,.0082766293,383.45258,.30238393,.16767293,2111,1203,314,243,1797,.29083118,.38049749,.49167165,.25832453,.45414919,.44099236
