geocodenum,hsppl2000,parproper2000,parnonproper2000,aptpro2000,hspro2000,hsgeo2000,hi_ses_hs2000,low_ses_hs2000,hi_ses_sigungu2000,low_ses_sigungu2000,d_par_hs2000,d_par_sido2000,x_par_hs_low2000,x_par_sido_low2000,hsppl2005,parproper2005,parnonproper2005,aptpro2005,hspro2005,hsgeo2005,hi_ses_hs2005,low_ses_hs2005,hi_ses_sigungu2005,low_ses_sigungu2005,d_par_hs2005,d_par_sido2005,x_par_hs_low2005,x_par_sido_low2005,hsppl2010,parproper2010,parnonproper2010,aptpro2010,hspro2010,hsgeo2010,hi_ses_hs2010,low_ses_hs2010,hi_ses_sigungu2010,low_ses_sigungu2010,d_par_hs2010,d_par_sido2010,x_par_hs_low2010,x_par_sido_low2010,hsppl2015,parproper2015,parnonproper2015,aptpro2015,hspro2015,hsgeo2015,hi_ses_hs2015,low_ses_hs2015,hi_ses_sigungu2015,low_ses_sigungu2015,d_par_hs2015,d_par_sido2015,x_par_hs_low2015,x_par_sido_low2015,hsppl2020,parproper2020,parnonproper2020,aptpro2020,hspro2020,hsgeo2020,hi_ses_hs2020,low_ses_hs2020,hi_ses_sigungu2020,low_ses_sigungu2020,d_par_hs2020,d_par_sido2020,x_par_hs_low2020,x_par_sido_low2020,geo2
11010,268,10.820895,45.522388,15.671641,84.328362,110101,22,105,29,122,.10203505,.33388495,.18973204,.21125712,218,26.605505,39.908257,13.302752,86.69725,110102,13,3,58,87,.18965517,.27361503,.36482558,.37129322,209,27.272728,30.143541,28.708134,71.291862,110101,34,54,57,63,.26065162,.32699949,.4338474,.37911722,188,32.446808,26.595745,27.127659,72.872337,110101,35,45,61,50,.32622951,.30507419,.47762096,.50769967,211,45.497631,11.374408,40.284359,59.715641,110102,41,6,96,24,.17708333,.34826523,.78315359,.6146009,서울특별시 종로구
11020,190,7.8947368,60,28.421053,71.578949,110201,12,80,15,114,.098245613,.33388495,.11571526,.21125712,154,15.584415,47.402596,35.064934,64.935066,110201,13,56,24,73,.22545663,.27361503,.23601775,.37129322,118,6.7796612,47.457626,44.915253,55.084747,110201,3,42,8,56,.375,.32699949,.11578947,.37911722,131,26.717558,35.877861,49.61832,50.38168,110202,26,11,35,47,.50881457,.30507419,.31765383,.50769967,145,32.413792,13.103448,67.586205,32.413792,110201,8,12,47,19,.46136618,.34826523,.56498855,.6146009,서울특별시 중구
11030,340,12.647058,48.529411,26.470589,73.529411,110301,12,143,43,165,.58759689,.33388495,.1450842,.21125712,282,27.659575,37.588654,42.198582,57.801418,110301,19,87,78,106,.57716495,.27361503,.28269938,.37129322,269,28.252789,29.368031,44.609665,55.390335,110301,28,66,76,79,.46702197,.32699949,.37834281,.37911722,227,33.920704,14.537445,52.863438,47.136562,110302,63,2,77,33,.75757575,.30507419,.35099715,.50769967,215,45.581394,8.8372097,68.372093,31.627907,110301,16,15,98,19,.62620836,.34826523,.60820466,.6146009,서울특별시 용산구
11040,541,7.9482441,56.007393,32.162663,67.837341,110401,5,254,43,303,.72200477,.33388495,.086817734,.21125712,457,19.693655,44.857769,47.264771,52.735229,110401,13,152,90,205,.59701896,.27361503,.21155153,.37129322,370,18.918919,38.37838,54.594593,45.405407,110402,54,46,70,142,.44748491,.32699949,.27150905,.37911722,270,34.814816,27.777779,60.370369,39.629631,110402,81,20,94,75,.59503543,.30507419,.35405746,.50769967,176,43.75,14.772727,72.727272,27.272728,110402,67,9,77,26,.52397603,.34826523,.54732716,.6146009,서울특별시 성동구
11050,682,15.249267,45.601173,25.36657,74.63343,110501,30,289,104,311,.64079893,.33388495,.14191967,.21125712,611,23.567921,39.279869,33.551556,66.448448,110501,47,217,144,240,.5777778,.27361503,.23843434,.37129322,496,22.17742,35.080647,38.508064,61.491936,110501,25,154,110,174,.65778476,.32699949,.2166601,.37911722,362,26.519337,29.281769,37.845303,62.154697,110501,28,91,96,106,.5668239,.30507419,.31793323,.50769967,275,37.81818,21.09091,46.909092,53.090908,110501,26,53,104,58,.66379309,.34826523,.38175574,.6146009,서울특별시 광진구
11060,588,4.7619047,63.265305,17.346939,82.653061,110601,15,330,28,372,.35138249,.33388495,.065255642,.21125712,485,13.195876,52.164948,36.494846,63.505154,110601,21,183,64,253,.39519516,.27361503,.17974468,.37129322,385,18.181818,37.662338,51.42857,48.57143,110602,59,44,70,145,.53940886,.32699949,.24223122,.37911722,294,26.190475,27.210884,63.265305,36.734695,110602,66,28,77,80,.50714284,.30507419,.35923675,.50769967,239,28.033472,18.828451,61.506275,38.493725,110602,57,13,67,45,.5618574,.34826523,.40455025,.6146009,서울특별시 동대문구
11070,907,5.4024258,58.21389,31.201763,68.798233,110701,13,415,49,528,.5206787,.33388495,.075581729,.21125712,706,10.481586,54.24929,36.968838,63.031162,110701,18,296,74,383,.52960271,.27361503,.1332587,.37129322,533,9.1932459,49.343338,37.898685,62.101315,110702,35,61,49,263,.48234656,.32699949,.13434288,.37911722,368,10.869565,43.75,42.663044,57.336956,110702,32,40,40,161,.55155277,.30507419,.1570289,.50769967,315,12.698413,33.650795,46.666668,53.333332,110701,13,77,40,106,.40141508,.34826523,.23683363,.6146009,서울특별시 중랑구
11080,788,6.3451777,60.532993,20.939087,79.060913,110801,23,418,50,477,.41631028,.33388495,.084536076,.21125712,619,16.801292,50.080776,39.095314,60.904686,110801,25,248,104,310,.55961537,.27361503,.18531682,.37129322,566,21.731449,35.689045,53.356892,46.643108,110802,94,51,123,202,.51175237,.32699949,.28410816,.37911722,481,32.016632,24.116425,58.835758,41.164242,110801,37,82,154,116,.46663681,.30507419,.44689801,.50769967,369,33.333332,16.802168,68.021683,31.978319,110802,107,19,123,62,.56346709,.34826523,.44832158,.6146009,서울특별시 성북구
11090,586,4.9488053,59.385666,14.505119,85.494881,110901,16,315,29,348,.35344827,.33388495,.07055366,.21125712,486,13.168724,51.646091,28.806585,71.193413,110902,43,45,64,251,.49259213,.27361503,.1635295,.37129322,419,10.97852,44.63007,30.310263,69.689735,110901,15,161,46,187,.53487563,.32699949,.14899434,.37911722,290,13.793103,39.655174,32.413792,67.586205,110902,25,18,40,115,.46847826,.30507419,.20396686,.50769967,237,21.940928,30.801687,45.147678,54.852322,110902,37,13,52,73,.53345627,.34826523,.29616439,.6146009,서울특별시 강북구
11100,761,15.900131,40.473061,56.504601,43.495399,111001,12,202,121,308,.55667061,.33388495,.21125531,.21125712,694,22.334293,35.734871,66.138329,33.861671,111001,12,154,155,248,.54354841,.27361503,.27358803,.37129322,552,15.942029,41.304348,57.427536,42.572464,111002,76,88,88,228,.47767144,.32699949,.22733824,.37911722,331,21.450151,29.305136,61.329304,38.670696,111001,13,67,71,97,.50762308,.30507419,.31608483,.50769967,263,18.631178,21.673004,68.821289,31.178707,111002,42,28,49,57,.36591479,.34826523,.39366472,.6146009,서울특별시 도봉구
